Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
M. Hummels,Germany,31,86,86,"



Borussia Dortmund",CB,CB,€46.5M,95000,€56.1M,2040,0.0009052631578947368
Y. Sommer,Switzerland,31,86,86,"



Borussia Mönchengladbach",GK,GK,€36M,55000,€48.5M,1366,0.0015636363636363636
David Silva,Spain,34,86,86,"



Real Sociedad","CAM, CM",CAM,€32M,58000,€47.3M,2060,0.001482758620689655
A. Gómez,Argentina,32,86,86,"



Atalanta","CAM, CF, ST",CAM,€54M,100000,€58.7M,2065,0.00086
Jordi Alba,Spain,31,86,86,"



FC Barcelona",LB,LB,€49.5M,220000,€65.6M,2224,0.0003909090909090909
J. Henderson,England,30,86,86,"



Liverpool","CDM, CM",CDM,€57M,140000,€67.5M,2220,0.0006142857142857142
Rodri,Spain,24,85,88,"



Manchester City","CDM, CM",CDM,€66.5M,145000,€84.7M,2093,0.0005862068965517242
S. Milinković-Savić,Serbia,25,85,89,"



Lazio","CM, CDM, CAM",CM,€74.5M,95000,€87M,2225,0.0008947368421052632
M. Depay,Netherlands,26,85,88,"



Olympique Lyonnais","CF, LW, CAM",CAM,€71.5M,115000,€95.8M,2095,0.0007391304347826087
K. Havertz,Germany,21,85,93,"



Chelsea","CAM, RM, CF",CAM,€121M,105000,€119.7M,2058,0.0008095238095238096
M. de Ligt,Netherlands,20,85,92,"



Juventus",CB,CB,€99M,81000,€91.6M,1988,0.0010493827160493827
M. Škriniar,Slovakia,25,85,89,"



Inter",CB,CB,€67M,130000,€79M,1813,0.0006538461538461538
M. Rashford,England,22,85,91,"



Manchester United","LM, ST",RM,€86.5M,150000,€111.3M,2149,0.0005666666666666667
G. Donnarumma,Italy,21,85,92,"



Milan",GK,GK,€93.5M,34000,€78.9M,1330,0.0025
S. Gnabry,Germany,24,85,87,"



FC Bayern München","RM, LM, RW",RM,€70M,100000,€81.9M,2071,0.00085
L. Sané,Germany,24,85,90,"



FC Bayern München",LM,LM,€81.5M,100000,€88.8M,2086,0.00085
H. Ziyech,Morocco,27,85,86,"



Chelsea","CAM, RW",CAM,€62M,140000,€86.9M,2096,0.0006071428571428571
C. Lenglet,France,25,85,89,"



FC Barcelona",CB,CB,€67M,190000,€94.6M,1930,0.0004473684210526316
Marquinhos,Brazil,26,85,89,"



Paris Saint-Germain","CB, CDM",CB,€66M,115000,€84.7M,1962,0.0007391304347826087
R. Mahrez,Algeria,29,85,85,"



Manchester City","RW, RM",RW,€53M,210000,€69.4M,2034,0.0004047619047619048
Ricardo Pereira,Portugal,26,85,86,"



Leicester City",RB,RB,€58M,120000,€78M,2191,0.0007083333333333334
T. Werner,Germany,24,85,88,"



Chelsea","ST, LW",ST,€74.5M,135000,€97.8M,2026,0.0006296296296296296
Parejo,Spain,31,85,85,"



Villarreal CF",CM,CM,€44M,59000,€69.3M,2170,0.001440677966101695
M. Icardi,Argentina,27,85,86,"



Paris Saint-Germain",ST,ST,€63M,135000,€86.6M,1946,0.0006296296296296296
F. de Jong,Netherlands,23,85,90,"



FC Barcelona",CM,CM,€81M,190000,€107.3M,2185,0.0004473684210526316
L. Insigne,Italy,29,85,85,"



Napoli","LW, CF",LW,€53M,120000,€63.8M,2001,0.0007083333333333334
T. Alderweireld,Belgium,31,85,85,"



Tottenham Hotspur",CB,CB,€37M,130000,€54.2M,2031,0.0006538461538461538
Thiago Silva,Brazil,35,85,85,"



Chelsea",CB,CB,€14.5M,95000,€21.9M,2037,0.0008947368421052632
Koke,Spain,28,85,85,"



Atlético Madrid","CM, RM, LM",CM,€54M,90000,€77.9M,2208,0.0009444444444444445
B. Leno,Germany,28,85,87,"



Arsenal",GK,GK,€46M,105000,€66.2M,1372,0.0008095238095238096
R. Lukaku,Belgium,27,85,86,"



Inter",ST,ST,€63M,165000,€79.9M,2019,0.0005151515151515151
Alex Sandro,Brazil,29,85,85,"



Juventus","LB, LM",LB,€47.5M,120000,€52M,2178,0.0007083333333333334
Thiago,Spain,29,85,85,"



Liverpool","CM, CDM",CM,€52.5M,150000,€68.5M,2179,0.0005666666666666667
K. Walker,England,30,85,85,"



Manchester City",RB,RB,€46.5M,170000,€56.4M,2188,0.0005
C. Eriksen,Denmark,28,85,85,"



Inter","CAM, CM, RM",CAM,€54.5M,155000,€66.3M,2090,0.0005483870967741936
P. Gulácsi,Hungary,30,85,85,"



RB Leipzig",GK,GK,€36M,65000,€44.2M,1315,0.0013076923076923077
L. Bonucci,Italy,33,85,85,"



Juventus",CB,CB,€26M,110000,€29.7M,1967,0.0007727272727272727
D. Mertens,Belgium,33,85,85,"



Napoli","CF, ST",CF,€34.5M,115000,€40.8M,2023,0.0007391304347826087
Luis Alberto,Spain,27,85,85,"



Lazio","CAM, CM, CF",CAM,€57.5M,100000,€68.9M,2048,0.00085
D. Godín,Uruguay,34,85,85,"



Cagliari",CB,CB,€17.5M,56000,€24.7M,1875,0.0015178571428571428
G. Wijnaldum,Netherlands,29,85,85,"



Liverpool",CM,CM,€52.5M,150000,€68.5M,2267,0.0005666666666666667
M. Pjanić,Bosnia Herzegovina,30,85,85,"



FC Barcelona",CM,CM,€51.5M,220000,€72.8M,2181,0.00038636363636363635
M. Reus,Germany,31,85,85,"



Borussia Dortmund","CAM, CF",CAM,€44.5M,95000,€57.8M,2147,0.0008947368421052632
W. Ndidi,Nigeria,23,84,88,"



Leicester City","CDM, CM",CB,€55M,95000,€72.1M,2120,0.0008842105263157895
J. Giménez,Uruguay,25,84,88,"



Atlético Madrid",CB,CB,€52.5M,71000,€76.5M,1761,0.0011830985915492957
A. Onana,Cameroon,24,84,88,"



Ajax",GK,GK,€48M,18000,€44.3M,1458,0.004666666666666667
J. Brandt,Germany,24,84,88,"



Borussia Dortmund","CAM, CM",CAM,€60.5M,75000,€71.9M,2083,0.00112
Oyarzabal,Spain,23,84,90,"



Real Sociedad","LW, RW",CAM,€66.5M,47000,€97.8M,2039,0.0017872340425531914
L. Martínez,Argentina,22,84,91,"



Inter",ST,ST,€86.5M,130000,€84.6M,2115,0.0006461538461538461
E. Haaland,Norway,19,84,92,"



Borussia Dortmund",ST,ST,€92M,56000,€85.5M,2027,0.0015
Alex Telles,Brazil,27,84,85,"



Manchester United",LB,LB,€44.5M,145000,€61.2M,2282,0.0005793103448275862
K. Coman,France,24,84,88,"



FC Bayern München","LM, RM, LW",RM,€60.5M,95000,€69.9M,1947,0.0008842105263157895
Grimaldo,Spain,24,84,88,"



SL Benfica",LB,LWB,€56M,20000,€73.7M,2183,0.0042
Arthur,Brazil,23,84,89,"



Juventus",CM,CM,€63.5M,100000,€70.7M,2163,0.00084
N. Süle,Germany,24,84,89,"



FC Bayern München",CB,CB,€57.5M,84000,€64.7M,1697,0.001
R. Guerreiro,Portugal,26,84,85,"



Borussia Dortmund","LM, LB, CM",CAM,€49.5M,86000,€64.8M,2148,0.0009767441860465116
A. Martial,France,24,84,88,"



Manchester United",ST,ST,€61M,155000,€81M,2065,0.0005419354838709677
Felipe,Brazil,31,84,84,"



Atlético Madrid",CB,CB,€29M,74000,€47.2M,1821,0.001135135135135135
L. Goretzka,Germany,25,84,88,"



FC Bayern München","CM, CDM",CM,€58.5M,105000,€68.1M,2255,0.0008
Saúl,Spain,25,84,87,"



Atlético Madrid","CM, LM, LB",CM,€55.5M,78000,€81.8M,2213,0.0010769230769230769
T. Partey,Ghana,27,84,85,"



Arsenal",CM,CDM,€48M,120000,€69.1M,2197,0.0007
W. Ben Yedder,France,29,84,84,"



AS Monaco",ST,CF,€42M,90000,€58.9M,2080,0.0009333333333333333
N. Tagliafico,Argentina,27,84,84,"



Ajax",LB,LB,€40.5M,27000,€38.5M,2096,0.003111111111111111
R. Jiménez,Mexico,29,84,84,"



Wolverhampton Wanderers",ST,ST,€42M,140000,€58.9M,2120,0.0006
M. Brozović,Croatia,27,84,85,"



Inter","CDM, CM",CDM,€43M,125000,€56.8M,2176,0.000672
L. Digne,France,26,84,85,"



Everton",LB,LB,€45.5M,110000,€62.2M,2215,0.0007636363636363637
R. Bürki,Switzerland,29,84,85,"



Borussia Dortmund",GK,GK,€32.5M,68000,€44.4M,1286,0.0012352941176470588
J. Iličić,Slovenia,32,84,84,"



Atalanta","CF, ST",CAM,€34M,90000,€42.5M,2046,0.0009333333333333333
José Callejón,Spain,33,84,84,"



Fiorentina","RM, RW",RM,€26.5M,85000,€32.3M,2034,0.000988235294117647
Pizzi,Portugal,30,84,84,"



SL Benfica","RM, CM",RM,€40.5M,25000,€59M,2167,0.00336
Isco,Spain,28,84,84,"



Real Madrid","CAM, CM, LW",CAM,€42.5M,210000,€64.6M,2080,0.0004
D. Alaba,Austria,28,84,84,"



FC Bayern München","CB, LB",CB,€36.5M,105000,€45.4M,2247,0.0008
I. Gueye,Senegal,30,84,84,"



Paris Saint-Germain","CDM, CM",CDM,€35.5M,105000,€47.2M,2086,0.0008
J. Corona,Mexico,27,84,84,"



FC Porto","RM, RB",RM,€45M,25000,€65M,2188,0.00336
Iago Aspas,Spain,32,84,84,"



RC Celta","ST, RW",ST,€34M,46000,€52.5M,2063,0.0018260869565217392
Douglas Costa,Brazil,29,84,84,"



FC Bayern München","LM, RW, LW",LM,€41.5M,110000,€50.3M,2070,0.0007636363636363637
S. de Vrij,Netherlands,28,84,85,"



Inter",CB,CB,€40M,130000,€54.1M,1823,0.0006461538461538461
Fernandinho,Brazil,35,84,84,"



Manchester City","CB, CDM",CB,€11M,110000,€17.6M,2192,0.0007636363636363637
Lucas Leiva,Brazil,33,84,84,"



Lazio",CDM,CDM,€21M,83000,€25.5M,2082,0.0010120481927710842
Azpilicueta,Spain,30,84,84,"



Chelsea","RB, LB",RB,€36.5M,120000,€46.6M,2075,0.0007
S. Sirigu,Italy,33,84,84,"



Torino",GK,GK,€13.5M,54000,€28.9M,1260,0.0015555555555555555
K. Schmeichel,Denmark,33,84,84,"



Leicester City",GK,GK,€13.5M,90000,€32.3M,1366,0.0009333333333333333
A. Witsel,Belgium,31,84,84,"



Borussia Dortmund","CDM, CM",CDM,€29.5M,79000,€40M,2192,0.0010632911392405063
Rui Patrício,Portugal,32,84,84,"



Wolverhampton Wanderers",GK,GK,€21M,90000,€36.1M,1375,0.0009333333333333333
E. Cavani,Uruguay,33,84,84,"



Manchester United",ST,ST,€27M,175000,€37.1M,2119,0.00048
Jesús Navas,Spain,34,84,84,"



Sevilla FC","RB, RM",RB,€15.5M,43000,€23.1M,2170,0.0019534883720930232
A. Hakimi,Morocco,21,83,88,"



Inter",RM,RM,€56M,90000,€62.1M,2122,0.0009222222222222222
F. Mendy,France,25,83,88,"



Real Madrid",LB,LB,€49.5M,160000,€64.8M,2141,0.00051875
O. Dembélé,France,23,83,89,"



FC Barcelona","LW, RW",LM,€57.5M,175000,€79.9M,1989,0.0004742857142857143
T. Hazard,Belgium,27,83,83,"



Borussia Dortmund","LM, RM, CF",LM,€38.5M,79000,€45.9M,2107,0.001050632911392405
Ronaldo Cabrais,Brazil,28,83,83,"



Grêmio","CAM, RM",RM,€36.5M,49000,€49.4M,2098,0.0016938775510204082
A. Wan-Bissaka,England,22,83,88,"



Manchester United","RB, RWB",RB,€52M,115000,€60.2M,2006,0.0007217391304347827
D. Zakaria,Switzerland,23,83,87,"



Borussia Mönchengladbach","CDM, CB, CM",CDM,€47.5M,45000,€54.1M,2066,0.0018444444444444443
N. Fekir,France,26,83,84,"



Real Betis","CAM, RM, ST",CAM,€43M,38000,€66.3M,2105,0.0021842105263157894
M. Acuña,Argentina,28,83,83,"



Sevilla FC","LB, LM",LB,€33M,41000,€46.2M,2280,0.002024390243902439
S. Bergwijn,Netherlands,22,83,88,"



Tottenham Hotspur","LM, LW, RM",CAM,€56M,105000,€68.1M,2047,0.0007904761904761905
J. Gomez,England,23,83,88,"



Liverpool",CB,CB,€49.5M,95000,€59.7M,1824,0.0008736842105263158
M. Ødegaard,Norway,21,83,89,"



Real Madrid","CAM, CM",CAM,€58.5M,135000,€81M,2099,0.0006148148148148148
D. van de Beek,Netherlands,23,83,87,"



Manchester United","CM, CAM",CM,€52M,125000,€65.2M,2171,0.000664
Pau López,Spain,25,83,88,"



Roma",GK,GK,€42.5M,25000,€55.5M,1364,0.00332
M. Dúbravka,Slovakia,31,83,83,"



Newcastle United",GK,GK,€19M,47000,€31.4M,1346,0.0017659574468085106
Diego Carlos,Brazil,27,83,85,"



Sevilla FC",CB,CB,€38.5M,39000,€58.7M,1935,0.002128205128205128
F. Valverde,Uruguay,21,83,90,"



Real Madrid",CM,CM,€73.5M,135000,€81M,2173,0.0006148148148148148
Gerard Moreno,Spain,28,83,83,"



Villarreal CF","ST, RM, CF",ST,€37M,56000,€56.7M,2068,0.0014821428571428572
Gabriel Jesus,Brazil,23,83,87,"



Manchester City",ST,ST,€52.5M,150000,€66.4M,2070,0.0005533333333333333
Rafa,Portugal,27,83,83,"



SL Benfica","LM, RM",LM,€38.5M,23000,€54M,2002,0.003608695652173913
Lucas Moura,Brazil,27,83,83,"



Tottenham Hotspur","RM, CF",RM,€38.5M,120000,€51.3M,2093,0.0006916666666666667
T. Strakosha,Albania,25,83,88,"



Lazio",GK,GK,€42.5M,58000,€45.3M,1224,0.0014310344827586207
F. Kostić,Serbia,27,83,83,"



Eintracht Frankfurt","LM, LWB",LM,€38.5M,45000,€45.9M,2212,0.0018444444444444443
Gayà,Spain,25,83,88,"



Valencia CF",LB,LWB,€49.5M,46000,€66.3M,2094,0.0018043478260869564
D. Alli,England,24,83,87,"



Tottenham Hotspur","CAM, CM",CAM,€52M,105000,€67.2M,2190,0.0007904761904761905
João Cancelo,Portugal,26,83,86,"



Manchester City",RB,RWB,€43.5M,140000,€53.9M,2172,0.0005928571428571429
A. Romagnoli,Italy,25,83,87,"



Milan",CB,CB,€45.5M,51000,€53.3M,1782,0.001627450980392157
Juan Bernat,Spain,27,83,84,"



Paris Saint-Germain","LB, LM",LB,€38M,95000,€49.1M,2125,0.0008736842105263158
E. Višća,Bosnia Herzegovina,30,83,83,"



Medipol Başakşehir FK",RM,RM,€35M,59000,€46.6M,2082,0.0014067796610169492
S. Umtiti,France,26,83,86,"



FC Barcelona",CB,CB,€42M,170000,€60.6M,2061,0.00048823529411764707
Jorginho,Italy,28,83,83,"



Chelsea","CM, CDM",CM,€36.5M,125000,€48.5M,2111,0.000664
Portu,Spain,28,83,83,"



Real Sociedad","RW, RM, CF",RW,€36.5M,50000,€54.6M,2190,0.00166
M. Sabitzer,Austria,26,83,85,"



RB Leipzig","CM, CAM",CAM,€44.5M,74000,€55M,2210,0.0011216216216216215
D. Zapata,Colombia,29,83,83,"



Atalanta",ST,ST,€36.5M,87000,€44.2M,1882,0.0009540229885057471
M. Kovačić,Croatia,26,83,86,"



Chelsea","CM, CDM",CM,€47M,120000,€62.2M,2135,0.0006916666666666667
Nélson Semedo,Portugal,26,83,86,"



Wolverhampton Wanderers",RB,RWB,€43.5M,100000,€55.3M,2062,0.00083
Fernando,Brazil,32,83,83,"



Sevilla FC","CDM, CM",CDM,€24M,39000,€35.7M,2035,0.002128205128205128
D. Tadić,Serbia,31,83,83,"



Ajax","CF, LW, CAM",CF,€30.5M,30000,€32.9M,2073,0.002766666666666667
B. Matuidi,France,33,83,83,"



Inter Miami","CDM, CM",CDM,€18M,14000,€18.8M,2149,0.005928571428571429
K. Trippier,England,29,83,83,"



Atlético Madrid",RB,RB,€32M,71000,€44.1M,2163,0.0011690140845070423
Sergi Roberto,Spain,28,83,83,"



FC Barcelona","RB, CM",RB,€33M,175000,€45.1M,2094,0.0004742857142857143
A. Lopes,Portugal,29,83,84,"



Olympique Lyonnais",GK,GK,€28M,69000,€41.5M,1385,0.0012028985507246378
C. Aránguiz,Chile,31,83,83,"



Bayer 04 Leverkusen","CDM, CM",CDM,€25.5M,79000,€33.2M,2171,0.001050632911392405
J. Matip,Cameroon,28,83,84,"



Liverpool",CB,CB,€34.5M,115000,€49.1M,1870,0.0007217391304347827
Aitor,Spain,29,83,83,"



Levante UD",GK,GK,€25M,31000,€38.9M,1354,0.0026774193548387095
A. Lacazette,France,29,83,83,"



Arsenal",ST,ST,€36.5M,125000,€49.4M,2076,0.000664
W. Zaha,Ivory Coast,27,83,83,"



Crystal Palace","LM, CF",LM,€38.5M,82000,€51.3M,1961,0.0010121951219512195
K. Manolas,Greece,29,83,84,"



Napoli",CB,CB,€33.5M,84000,€43.5M,1638,0.000988095238095238
L. Hrádecký,Finland,30,83,83,"



Bayer 04 Leverkusen",GK,GK,€24M,64000,€29.8M,1197,0.001296875
Muniain,Spain,27,83,83,"



Athletic Club de Bilbao","LW, CAM, RW",LW,€38.5M,41000,€56.7M,2049,0.002024390243902439
Coutinho,Brazil,28,83,83,"



FC Barcelona","CAM, LW, CM",CAM,€36.5M,190000,€53.3M,2103,0.0004368421052631579
Oscar,Brazil,28,83,83,"



Shanghai SIPG FC","CAM, CM, LW",CAM,€36.5M,25000,€41.6M,2141,0.00332
K. Casteels,Belgium,28,83,85,"



VfL Wolfsburg",GK,GK,€31M,53000,€39.9M,1299,0.0015660377358490565
F. Acerbi,Italy,32,83,83,"



Lazio",CB,CB,€23.5M,75000,€28.1M,1872,0.0011066666666666666
I. Gündoğan,Germany,29,83,83,"



Manchester City","CM, CDM",CM,€35.5M,160000,€46.3M,2158,0.00051875
K. Trapp,Germany,29,83,83,"



Eintracht Frankfurt",GK,GK,€25M,35000,€31.5M,1242,0.0023714285714285716
Paulinho,Brazil,31,83,83,"



Guangzhou Evergrande Taobao FC","CM, CAM, CDM",CM,€30M,39000,€35.2M,2279,0.002128205128205128
Yuri Berchiche,Spain,30,83,83,"



Athletic Club de Bilbao",LB,LB,€31.5M,35000,€43.1M,2172,0.0023714285714285716
Allan,Brazil,29,83,83,"



Everton","CM, CDM",CDM,€35.5M,115000,€47.5M,2173,0.0007217391304347827
A. Vidal,Chile,33,83,83,"



Inter","CM, CDM, CAM",CM,€22.5M,125000,€25.5M,2241,0.000664
E. Džeko,Bosnia Herzegovina,34,83,83,"



Roma",ST,ST,€17.5M,39000,€28.4M,1918,0.002128205128205128
R. Nainggolan,Belgium,32,83,83,"



Inter","CAM, CM, CF",CDM,€29M,125000,€34M,2270,0.000664
Marcelo,Brazil,32,83,83,"



Real Madrid",LB,LB,€25M,170000,€32.8M,2209,0.00048823529411764707
G. Bale,Wales,30,83,83,"



Tottenham Hotspur",RW,RW,€35M,200000,€0,2213,0.000415
E. Banega,Argentina,32,83,83,"



Al Shabab","CM, CDM",CM,€28.5M,55000,€33.2M,2161,0.0015090909090909091
J. Vertonghen,Belgium,33,83,83,"



SL Benfica","CB, LB",CB,€17.5M,21000,€24M,2039,0.003952380952380952
S. Mandanda,France,35,83,83,"



Olympique de Marseille",GK,GK,€4M,28000,€13.3M,1287,0.0029642857142857144
Z. Ibrahimović,Sweden,38,83,83,"



Milan",ST,ST,€12.5M,49000,€16.2M,1996,0.0016938775510204082
C. Vela,Mexico,31,83,83,"



Los Angeles FC","RW, LW, CAM",RW,€30M,17000,€33.8M,2005,0.0048823529411764705
João Moutinho,Portugal,33,83,83,"



Wolverhampton Wanderers",CM,CM,€22.5M,110000,€28.5M,2180,0.0007545454545454546
G. Higuaín,Argentina,32,83,83,"



Inter Miami",ST,ST,€29.5M,17000,€30.8M,1906,0.0048823529411764705
Renato Augusto,Brazil,32,83,83,"



Beijing Sinobo Guoan FC","CM, CAM, LM",CM,€28.5M,33000,€31.2M,2181,0.002515151515151515
L. Hernández,France,24,82,87,"



FC Bayern München","CB, LB",CB,€41.5M,70000,€45.7M,2006,0.0011714285714285715
D. Djené,Togo,28,82,83,"



Getafe CF",CB,CB,€29M,39000,€46.8M,1852,0.0021025641025641025
F. Thauvin,France,27,82,82,"



Olympique de Marseille","RW, RM",RW,€32.5M,59000,€43.7M,2072,0.0013898305084745763
J. Pavlenka,Czech Republic,28,82,83,"



SV Werder Bremen",GK,GK,€24M,32000,€34.7M,1089,0.0025625
Josué Chiamulera,Brazil,28,82,82,"



Grêmio",CB,CB,€26.5M,41000,€37.1M,1885,0.002
G. Lo Celso,Argentina,24,82,87,"



Tottenham Hotspur","CM, CAM",CAM,€46M,95000,€57.3M,2172,0.0008631578947368422
Marcos Llorente,Spain,25,82,85,"



Atlético Madrid","CM, RM, ST",CM,€40M,65000,€58.4M,2190,0.0012615384615384615
N. Pépé,Ivory Coast,25,82,85,"



Arsenal","RM, RW",LM,€40.5M,100000,€55.3M,2002,0.00082
K. Laimer,Austria,23,82,86,"



RB Leipzig","CDM, CM, RB",CDM,€40M,53000,€46.2M,2149,0.0015471698113207547
Rúben Neves,Portugal,23,82,87,"



Wolverhampton Wanderers",CM,CM,€46M,89000,€57.3M,2155,0.0009213483146067416
David Soria,Spain,27,82,84,"



Getafe CF",GK,GK,€28M,30000,€40.2M,1279,0.0027333333333333333
